type,file,measure,value
ocel,BPIC17,number of observed,1202267
ocel,BPIC17,number of observed (Time),0.32758593559265137
ocel,BPIC17,number of objects,106162
ocel,BPIC17,number of objects (Time),0.0
ocel,BPIC17,number of df,2298372
ocel,BPIC17,number of df (Time),181.44153022766113
ocel,BPIC17,number of corr,2404534
ocel,BPIC17,number of corr (Time),0.0
ocel,BPIC17,filter on event time (Time),1.4883379936218262
ocel,BPIC17,filter on object types (Time),0.19829416275024414
ocel,BPIC17,filter on object types and time (Time),0.23357057571411133
ocel,BPIC17,filter on objects (Time),0.20982146263122559
ocel,BPIC17,filter on objects and time (Time),0.22228121757507324
ocel,BPIC19,load (Time),57.95856237411499
ocel,BPIC19,number of logs,1
ocel,BPIC19,number of logs (Time),0.0
ocel,BPIC19,number of events,1595923
ocel,BPIC19,number of events (Time),0.0
ocel,BPIC19,number of activities,42
ocel,BPIC19,number of activities (Time),0.21786189079284668
ocel,BPIC19,number of observed,1595923
ocel,BPIC19,number of observed (Time),0.23718953132629395
ocel,BPIC19,number of objects,330685
ocel,BPIC19,number of objects (Time),0.0
ocel,BPIC19,number of df,5653917
ocel,BPIC19,number of df (Time),277.1374785900116
ocel,BPIC19,number of corr,5984602
ocel,BPIC19,number of corr (Time),0.0
ocel,BPIC19,filter on event time (Time),1.2561628818511963
ocel,BPIC19,filter on object types (Time),0.14642071723937988
ocel,BPIC19,filter on object types and time (Time),0.15892577171325684
ocel,BPIC19,filter on objects (Time),0.14282822608947754
ocel,BPIC19,filter on objects and time (Time),0.1764371395111084
ocel,BPIC16,load (Time),349.9524962902069
ocel,BPIC16,number of logs,1
ocel,BPIC16,number of logs (Time),0.0
ocel,BPIC16,number of events,7360146
ocel,BPIC16,number of events (Time),0.0
ocel,BPIC16,number of activities,620
ocel,BPIC16,number of activities (Time),2.1935083866119385
ocel,BPIC16,number of observed,7360146
ocel,BPIC16,number of observed (Time),2.4403107166290283
ocel,BPIC16,number of objects,748913
ocel,BPIC16,number of objects (Time),0.0
ocel,BPIC16,number of df,35681967
ocel,BPIC16,number of df (Time),1845.7961478233337
ocel,BPIC16,number of corr,36430880
ocel,BPIC16,number of corr (Time),0.0
ocel,BPIC16,filter on event time (Time),8.587125778198242
ocel,BPIC16,filter on object types (Time),1.8455631732940674
ocel,BPIC16,filter on object types and time (Time),1.7527210712432861
ocel,BPIC16,filter on objects (Time),1.769134521484375
ocel,BPIC16,filter on objects and time (Time),1.7847049236297607
neo4j,BPIC14,number of logs,1
neo4j,BPIC14,number of logs (Time),0.020746469497680664
neo4j,BPIC14,number of events,690622
neo4j,BPIC14,number of events (Time),0.017802953720092773
neo4j,BPIC14,number of df,2503328
neo4j,BPIC14,number of df (Time),0.02644491195678711
neo4j,BPIC14,number of activities,330
neo4j,BPIC14,number of activities (Time),0.01970958709716797
neo4j,BPIC14,number of objects,228885
neo4j,BPIC14,number of objects (Time),2.3670976161956787
neo4j,BPIC14,number of observed,690622
neo4j,BPIC14,number of observed (Time),0.017142534255981445
neo4j,BPIC14,number of corr,2732213
neo4j,BPIC14,number of corr (Time),2.7906997203826904
neo4j,BPIC14,filter on event time,0
neo4j,BPIC14,filter on event time (Time),12.194594621658325
neo4j,BPIC14,filter on object types,0
neo4j,BPIC14,filter on object types (Time),0.45822739601135254
neo4j,BPIC14,filter on object types and time,0
neo4j,BPIC14,filter on object types and time (Time),0.1729602813720703
neo4j,BPIC14,filter on objects,0
neo4j,BPIC14,filter on objects (Time),0.15388059616088867
neo4j,BPIC14,filter on objects and time,0
neo4j,BPIC14,filter on objects and time (Time),0.11572480201721191
neo4j,BPIC15,number of logs,5
neo4j,BPIC15,number of logs (Time),0.02381134033203125
neo4j,BPIC15,number of events,262628
neo4j,BPIC15,number of events (Time),0.018614768981933594
neo4j,BPIC15,number of df,1044650
neo4j,BPIC15,number of df (Time),0.0296022891998291
neo4j,BPIC15,number of activities,356
neo4j,BPIC15,number of activities (Time),0.014362335205078125
neo4j,BPIC15,number of objects,5862
neo4j,BPIC15,number of objects (Time),0.4098482131958008
neo4j,BPIC15,number of observed,262628
neo4j,BPIC15,number of observed (Time),0.014257669448852539
neo4j,BPIC15,number of corr,1050512
neo4j,BPIC15,number of corr (Time),1.5247764587402344
neo4j,BPIC15,filter on event time,0
neo4j,BPIC15,filter on event time (Time),3.9682867527008057
neo4j,BPIC15,filter on object types,0
neo4j,BPIC15,filter on object types (Time),0.0692896842956543
neo4j,BPIC15,filter on object types and time,0
neo4j,BPIC15,filter on object types and time (Time),0.0865027904510498
neo4j,BPIC15,filter on objects,0
neo4j,BPIC15,filter on objects (Time),0.11553645133972168
neo4j,BPIC15,filter on objects and time,0
neo4j,BPIC15,filter on objects and time (Time),0.08725643157958984
neo4j,BPIC16,number of logs,1
neo4j,BPIC16,number of logs (Time),0.02428460121154785
neo4j,BPIC16,number of events,7360146
neo4j,BPIC16,number of events (Time),0.01852893829345703
neo4j,BPIC16,number of df,35681967
neo4j,BPIC16,number of df (Time),0.027378320693969727
neo4j,BPIC16,number of activities,620
neo4j,BPIC16,number of activities (Time),0.01409292221069336
neo4j,BPIC16,number of objects,748913
neo4j,BPIC16,number of objects (Time),7.323013782501221
neo4j,BPIC16,number of observed,7360146
neo4j,BPIC16,number of observed (Time),0.013572216033935547
neo4j,BPIC16,number of corr,36430880
neo4j,BPIC16,number of corr (Time),67.70976400375366
neo4j,BPIC16,filter on event time,0
neo4j,BPIC16,filter on event time (Time),109.03058886528015
neo4j,BPIC16,filter on object types,0
neo4j,BPIC16,filter on object types (Time),1.9890482425689697
neo4j,BPIC16,filter on object types and time,0
neo4j,BPIC16,filter on object types and time (Time),0.4526488780975342
neo4j,BPIC16,filter on objects,0
neo4j,BPIC16,filter on objects (Time),0.10602879524230957
neo4j,BPIC16,filter on objects and time,0
neo4j,BPIC16,filter on objects and time (Time),0.09934782981872559
neo4j,BPIC17,number of logs,1
neo4j,BPIC17,number of logs (Time),0.023377180099487305
neo4j,BPIC17,number of events,1202267
neo4j,BPIC17,number of events (Time),0.022743701934814453
neo4j,BPIC17,number of df,2298372
neo4j,BPIC17,number of df (Time),0.033707380294799805
neo4j,BPIC17,number of activities,92
neo4j,BPIC17,number of activities (Time),0.014600038528442383
neo4j,BPIC17,number of objects,106162
neo4j,BPIC17,number of objects (Time),3.2359840869903564
neo4j,BPIC17,number of observed,2404534
neo4j,BPIC17,number of observed (Time),0.013549327850341797
neo4j,BPIC17,number of corr,2404534
neo4j,BPIC17,number of corr (Time),3.5334768295288086
neo4j,BPIC17,filter on event time,0
neo4j,BPIC17,filter on event time (Time),15.8868408203125
neo4j,BPIC17,filter on object types,0
neo4j,BPIC17,filter on object types (Time),0.528146505355835
neo4j,BPIC17,filter on object types and time,0
neo4j,BPIC17,filter on object types and time (Time),0.19511723518371582
neo4j,BPIC17,filter on objects,0
neo4j,BPIC17,filter on objects (Time),0.11514592170715332
neo4j,BPIC17,filter on objects and time,0
neo4j,BPIC17,filter on objects and time (Time),0.09105157852172852
neo4j,BPIC19,number of logs,1
neo4j,BPIC19,number of logs (Time),0.023604631423950195
neo4j,BPIC19,number of events,1595923
neo4j,BPIC19,number of events (Time),0.017218828201293945
neo4j,BPIC19,number of df,5653917
neo4j,BPIC19,number of df (Time),0.02649712562561035
neo4j,BPIC19,number of activities,42
neo4j,BPIC19,number of activities (Time),0.01505732536315918
neo4j,BPIC19,number of objects,330685
neo4j,BPIC19,number of objects (Time),2.870659351348877
neo4j,BPIC19,number of observed,1595923
neo4j,BPIC19,number of observed (Time),0.015454769134521484
neo4j,BPIC19,number of corr,5984602
neo4j,BPIC19,number of corr (Time),7.230236768722534
neo4j,BPIC19,filter on event time,0
neo4j,BPIC19,filter on event time (Time),31.26013445854187
neo4j,BPIC19,filter on object types,0
neo4j,BPIC19,filter on object types (Time),0.7684903144836426
neo4j,BPIC19,filter on object types and time,0
neo4j,BPIC19,filter on object types and time (Time),0.25828099250793457
neo4j,BPIC19,filter on objects,0
neo4j,BPIC19,filter on objects (Time),0.12636876106262207
neo4j,BPIC19,filter on objects and time,0
neo4j,BPIC19,filter on objects and time (Time),0.10017085075378418
neo4j,BPIC14,load (Time),53.5866440
neo4j,BPIC15,load (Time),25.9665998
neo4j,BPIC16,load (Time),166.0248871
neo4j,BPIC17,load (Time),45.0310398
neo4j,BPIC19,load (Time),62.4783868

ocel,runningExample_amin,load (Time),0.03574180603027344
ocel,runningExample_amin,number of logs,1
ocel,runningExample_amin,number of logs (Time),0.0
ocel,runningExample_amin,number of events,4
ocel,runningExample_amin,number of events (Time),0.0
ocel,runningExample_amin,number of activities,3
ocel,runningExample_amin,number of activities (Time),0.0
ocel,runningExample_amin,number of observed,4
ocel,runningExample_amin,number of observed (Time),0.0019965171813964844
ocel,runningExample_amin,number of objects,3
ocel,runningExample_amin,number of objects (Time),0.0
ocel,runningExample_amin,number of df,4
ocel,runningExample_amin,number of df (Time),0.010343551635742188
