Analysis,Number Of Events,Loading Time,DFG Calculation Time,Total Time
neo4j,57093,0.0,30.0125765,30.0125765
neo4j,107645,0.0,30.713801300000004,30.713801300000004
neo4j,143872,0.0,31.542940599999994,31.542940599999994
neo4j,153129,0.0,31.73522410000001,31.73522410000001
neo4j,163180,0.0,32.09421369999998,32.09421369999998
neo4j,168931,0.0,32.9652547,32.9652547
neo4j,193971,0.0,32.22949039999997,32.22949039999997
neo4j,196852,0.0,31.919437700000003,31.919437700000003
neo4j,196852,0.0,32.00509649999998,32.00509649999998
neo4j,199073,0.0,32.045094600000034,32.045094600000034
neo4j,207499,0.0,32.89404909999996,32.89404909999996
neo4j,220545,0.0,33.12051649999989,33.12051649999989
neo4j,277703,0.0,35.80347100000006,35.80347100000006
neo4j,333352,0.0,35.41926269999999,35.41926269999999
neo4j,384177,0.0,35.79039209999996,35.79039209999996
neo4j,429582,0.0,36.180122900000015,36.180122900000015
neo4j,463109,0.0,36.009379999999965,36.009379999999965
neo4j,470398,0.0,35.51729660000001,35.51729660000001
neo4j,479273,0.0,35.741284900000096,35.741284900000096
neo4j,532760,0.0,36.74778009999989,36.74778009999989
neo4j,580496,0.0,37.990285300000096,37.990285300000096
neo4j,626715,0.0,37.93494069999997,37.93494069999997
neo4j,666246,0.0,39.00548939999999,39.00548939999999
neo4j,694401,0.0,38.592753799999855,38.592753799999855
neo4j,703642,0.0,38.126649600000064,38.126649600000064
neo4j,713245,0.0,38.18720400000007,38.18720400000007
neo4j,758356,0.0,39.3171875999999,39.3171875999999
neo4j,805637,0.0,39.55636219999997,39.55636219999997
neo4j,847742,0.0,39.9707479000001,39.9707479000001
neo4j,886845,0.0,42.22060970000007,42.22060970000007
neo4j,922038,0.0,40.54162270000001,40.54162270000001
neo4j,934270,0.0,40.75100719999999,40.75100719999999
neo4j,945006,0.0,40.61638009999999,40.61638009999999
neo4j,991104,0.0,41.61770340000001,41.61770340000001
neo4j,1039260,0.0,42.98193580000003,42.98193580000003
neo4j,1082426,0.0,42.711227399999984,42.711227399999984
neo4j,1120243,0.0,42.946664600000034,42.946664600000034
neo4j,1150567,0.0,43.3242851,43.3242851
neo4j,1158875,0.0,43.110806500000066,43.110806500000066
neo4j,1169084,0.0,43.84527800000001,43.84527800000001
neo4j,1216324,0.0,45.42531429999997,45.42531429999997
neo4j,1260121,0.0,44.48862499999996,44.48862499999996
neo4j,1301707,0.0,45.03489479999996,45.03489479999996
neo4j,1339034,0.0,45.43440149999992,45.43440149999992
neo4j,1370320,0.0,45.79806729999997,45.79806729999997
neo4j,1377439,0.0,45.73657109999999,45.73657109999999
neo4j,1389297,0.0,45.90051470000003,45.90051470000003
neo4j,1438445,0.0,46.68791190000002,46.68791190000002
neo4j,1485055,0.0,47.1333247,47.1333247
neo4j,1525152,0.0,47.15945840000018,47.15945840000018
neo4j,1567384,0.0,48.17442940000001,48.17442940000001
neo4j,1599843,0.0,48.04167040000015,48.04167040000015
neo4j,1607790,0.0,47.97174939999991,47.97174939999991
neo4j,1618408,0.0,48.25852179999993,48.25852179999993
neo4j,1672498,0.0,48.763047599999936,48.763047599999936
neo4j,1723891,0.0,49.23458210000013,49.23458210000013
neo4j,1771210,0.0,49.976780999999846,49.976780999999846
neo4j,1822061,0.0,50.81216889999996,50.81216889999996
neo4j,1855739,0.0,50.91072139999983,50.91072139999983
neo4j,1857854,0.0,50.686512099999845,50.686512099999845
neo4j,1861641,0.0,49.909225799999994,49.909225799999994
neo4j,1924911,0.0,51.39357800000001,51.39357800000001
neo4j,1987700,0.0,52.34963730000001,52.34963730000001
neo4j,2046010,0.0,52.76303720000002,52.76303720000002
neo4j,2095992,0.0,53.17842339999999,53.17842339999999
neo4j,2133921,0.0,54.24164080000003,54.24164080000003
neo4j,2144141,0.0,54.33566980000001,54.33566980000001
neo4j,2155781,0.0,54.49480180000001,54.49480180000001
neo4j,2210458,0.0,55.10012099999993,55.10012099999993
neo4j,2266304,0.0,55.472103399999924,55.472103399999924
neo4j,2314978,0.0,56.471043400000106,56.471043400000106
neo4j,2359013,0.0,56.609509300000006,56.609509300000006
neo4j,2394666,0.0,57.66832550000004,57.66832550000004
neo4j,2403941,0.0,56.90004390000014,56.90004390000014
neo4j,2412755,0.0,57.16189269999995,57.16189269999995
neo4j,2467229,0.0,58.311604199999934,58.311604199999934
neo4j,2520194,0.0,59.76613049999993,59.76613049999993
neo4j,2570288,0.0,58.921701400000074,58.921701400000074
neo4j,2620597,0.0,61.26536339999985,61.26536339999985
neo4j,2657479,0.0,59.974436800000156,59.974436800000156
neo4j,2660274,0.0,59.240818399999846,59.240818399999846
neo4j,2664138,0.0,59.55797560000019,59.55797560000019
neo4j,2722565,0.0,60.56235330000004,60.56235330000004
neo4j,2776942,0.0,61.5302008000001,61.5302008000001
neo4j,2825344,0.0,61.66191290000007,61.66191290000007
neo4j,2869543,0.0,61.990595100000064,61.990595100000064
neo4j,2907160,0.0,62.0878581999998,62.0878581999998
neo4j,2915953,0.0,62.0086566,62.0086566
neo4j,2927802,0.0,62.14204419999986,62.14204419999986
neo4j,2989480,0.0,62.76678220000032,62.76678220000032
neo4j,3045695,0.0,63.5678289,63.5678289
neo4j,3100087,0.0,63.9140074,63.9140074
neo4j,3159452,0.0,64.89804800000002,64.89804800000002
neo4j,3201176,0.0,65.3375077,65.3375077
neo4j,3211221,0.0,66.39806319999997,66.39806319999997
neo4j,3223715,0.0,67.03396529999998,67.03396529999998
neo4j,3286853,0.0,65.98326069999996,65.98326069999996
neo4j,3346227,0.0,66.18514659999994,66.18514659999994
neo4j,3399528,0.0,66.44440469999995,66.44440469999995
neo4j,3449870,0.0,67.03569729999992,67.03569729999992
neo4j,3487569,0.0,66.64788639999995,66.64788639999995
neo4j,3495648,0.0,66.88641580000011,66.88641580000011
neo4j,3506912,0.0,67.14084969999999,67.14084969999999
neo4j,3564462,0.0,67.70979699999998,67.70979699999998
neo4j,3616427,0.0,68.35872579999999,68.35872579999999
neo4j,3671301,0.0,68.9580894999999,68.9580894999999
neo4j,3723156,0.0,69.39411169999994,69.39411169999994
neo4j,3761867,0.0,69.72559369999999,69.72559369999999
neo4j,3770654,0.0,69.69508950000001,69.69508950000001
neo4j,3775700,0.0,69.50892959999986,69.50892959999986
neo4j,3836160,0.0,70.5339406999999,70.5339406999999
neo4j,3890389,0.0,71.10918040000001,71.10918040000001
neo4j,3941805,0.0,71.88149010000006,71.88149010000006
neo4j,3991003,0.0,72.5288304999999,72.5288304999999
neo4j,4028507,0.0,74.7588168000002,74.7588168000002
neo4j,4038279,0.0,72.76918759999991,72.76918759999991
neo4j,4050059,0.0,74.95389999999998,74.95389999999998
neo4j,4109110,0.0,72.94555800000035,72.94555800000035
neo4j,4167158,0.0,73.93750150000005,73.93750150000005
neo4j,4221767,0.0,77.97594410000009,77.97594410000009
pm4py,57093,51.11812608600121,0.04537640299895429,51.163502489000166
pm4py,107645,50.98148666999987,0.08191409999926691,51.06340076999914
pm4py,143872,51.210701586000134,0.10335030100031872,51.31405188700047
pm4py,153129,50.84503691899954,0.09818810000069787,50.94322501900025
pm4py,163545,51.37507788199947,0.11433240000042133,51.48941028199988
pm4py,169296,51.136029246999904,0.100162201000785,51.23619144800068
pm4py,194336,51.15442086999974,0.12937840000085998,51.2837992700006
pm4py,197217,51.54511459400055,0.12043850099871635,51.66555309499928
pm4py,197217,51.73201211000014,0.12201189799998248,51.854024008000145
pm4py,199438,51.11336680599925,0.12768880000112404,51.241055606000366
pm4py,207864,51.05814573299904,0.1435935999998037,51.20173933299885
pm4py,220910,51.41107688699958,0.1515134000001126,51.562590286999686
pm4py,278068,50.97060228899864,0.18300629900113569,51.15360858799977
pm4py,333717,51.495660931999744,0.2241452999987814,51.71980623199852
pm4py,384542,51.12397063199933,0.26504150000073423,51.38901213200006
pm4py,429947,52.34308938999857,0.32498230100100045,52.668071690999575
pm4py,463474,51.51435114899869,0.3666561000009097,51.8810072489996
pm4py,470763,50.89347381500011,0.3877038999999057,51.28117771500001
pm4py,479638,51.12660012199922,0.3831190000000788,51.50971912199929
pm4py,533125,51.01560262499879,0.3807288999996672,51.396331524998466
pm4py,580861,50.94881467699997,0.4464649029996508,51.39527957999962
pm4py,627080,51.8185975180004,0.4791065009994782,52.297704018999866
pm4py,666611,51.275621025000866,0.5034795019982994,51.779100526999166
pm4py,694766,51.02279513600115,0.5098555979984667,51.53265073399962
pm4py,704007,50.95444938100081,0.5244406009987871,51.4788899819996
pm4py,713610,51.99714897000013,0.5237187999991875,52.52086776999931
pm4py,758721,51.02098254500015,0.5369758990000264,51.55795844400018
pm4py,806002,50.89100395700007,0.5493270000006305,51.440330957000704
pm4py,848107,50.32368383699941,0.7031492000005528,51.02683303699996
pm4py,887210,51.07423720100087,0.7673635999999533,51.84160080100082
pm4py,922403,52.76108168300016,0.7523767989987391,53.5134584819989
pm4py,934635,52.70539901600022,0.7459810849995847,53.45138010099981
pm4py,945371,53.291331299999,0.7642127090002759,54.055544008999284
pm4py,991469,52.60579716400025,0.8298621769990859,53.435659340999344
pm4py,1039625,54.37123486600103,0.8412238069995509,55.212458673000576
pm4py,1082791,52.90147869099928,0.7947328139998717,53.69621150499916
pm4py,1120608,52.462828232999534,0.8123866009991616,53.27521483399869
pm4py,1150932,52.44092660000024,0.8273480999996536,53.26827469999989
pm4py,1159240,52.49365570599912,0.7652593970015005,53.25891510300063
pm4py,1169449,52.40873153999929,0.830672902000515,53.239404441999795
pm4py,1216689,52.56016431300122,0.8771004009995522,53.437264714000776
pm4py,1260486,52.729719057000686,0.9061392010007694,53.63585825800146
pm4py,1302072,52.7902082870005,0.9342033009997976,53.72441158800029
pm4py,1339399,52.439565441000006,0.9436362989999908,53.38320174
pm4py,1370685,52.48514142899876,0.8900847010008874,53.375226129999646
pm4py,1377804,52.18052195900054,0.9082495099992228,53.088771468999774
pm4py,1389662,52.2037271930003,1.0416287010011729,53.24535589400148
pm4py,1438810,52.47154094500002,1.0021830030000274,53.47372394800004
pm4py,1485420,52.39503073700144,1.0647242830000323,53.45975502000147
pm4py,1525517,52.75362234599925,1.1029929950000223,53.85661534099927
pm4py,1567749,52.31231227900025,1.0902281919989036,53.402540470999156
pm4py,1600208,52.4838935730004,1.1823659950023284,53.66625956800272
pm4py,1608155,52.81428584300011,1.2118301959999371,54.026116039000044
pm4py,1618773,52.479487955999495,1.3694184019987006,53.848906357998196
pm4py,1672863,52.653169033997976,1.4412963050017424,54.094465338999726
pm4py,1724256,52.30573576499954,1.4523536010019598,53.75808936600152
pm4py,1771575,52.553529955999686,1.4729517050000145,54.02648166099971
pm4py,1822426,52.02952641699813,1.594630906001839,53.62415732299996
pm4py,1856104,54.987245405998685,2.053025916000479,57.04027132199917
pm4py,1858219,53.51326551300008,1.6447095059993444,55.15797501899942
pm4py,1862006,51.47399505400246,1.6611285819999466,53.13512363600239
pm4py,1925276,51.577966494998684,1.6601267139994889,53.23809320899819
pm4py,1988065,51.03291291999993,1.615022907997627,52.64793582799757
pm4py,2046375,50.795629072999866,1.699786999997741,52.49541607299762
pm4py,2096357,51.5423249609994,1.6590175079982146,53.20134246899761
pm4py,2134286,50.792228857000744,1.7958302990009545,52.58805915600169
pm4py,2144506,52.55071844699705,1.9849576960004924,54.535676142997545
pm4py,2156146,52.535718455001195,2.201305791997584,54.73702424699878
pm4py,2210823,51.610873230001744,1.8538790139973569,53.4647522439991
pm4py,2266669,52.70141124500151,1.9219890409985965,54.6234002860001
pm4py,2315343,51.11743828699764,1.9613683900024623,53.0788066770001
pm4py,2359378,51.35787251000147,2.006160201999592,53.36403271200107
pm4py,2395031,51.424668627998464,2.0419808959995858,53.46664952399806
pm4py,2404306,52.02315423999971,2.118385132002004,54.141539372001716
pm4py,2413120,51.701382933999405,2.0391555040005187,53.74053843799992
pm4py,2467594,51.36391029099831,2.051804823000566,53.41571511399889
pm4py,2520559,51.479745724998786,2.109291724002105,53.589037449000905
pm4py,2570653,51.40445839499807,2.221557622000546,53.62601601699861
pm4py,2620962,51.202941835999816,2.252562224999565,53.45550406099938
pm4py,2657844,51.206755318999065,2.2949444990008487,53.501699817999906
pm4py,2660639,52.964760350001605,2.2758056860002402,55.240566036001844
pm4py,2664503,52.45339920799961,2.5288097740012745,54.982208982000884
pm4py,2722930,53.78806120800073,2.8606935040006647,56.64875471200139
pm4py,2777307,52.523322573000776,2.3828077010002744,54.906130274001036
pm4py,2825709,51.575842062000454,2.4541084260017674,54.029950488002214
pm4py,2869908,52.46550312299951,2.492432712999289,54.95793583599879
pm4py,2907525,50.89949521699965,2.5580951070005544,53.457590324000186
pm4py,2916318,52.05201942599888,2.5568751099999645,54.60889453599884
pm4py,2928167,51.50603029999911,2.5566305030006333,54.062660802999744
pm4py,2989845,51.943145176999685,2.702772890999768,54.645918067999446
pm4py,3046060,51.32666379800139,2.857997989998694,54.184661788000085
pm4py,3100452,51.65879842800132,2.8805508309997094,54.53934925900103
pm4py,3159817,52.28860981999969,2.959602053000708,55.2482118730004
pm4py,3201541,51.91469512700132,2.9630358289978176,54.87773095599914
pm4py,3211586,53.0333985440011,3.364795610999863,56.398194155000965
pm4py,3224080,54.407539782998356,3.1940945720016316,57.60163435499999
pm4py,3287218,53.72962764000113,3.6442494040020392,57.373877044003166
